CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,DURACAO,ANO_INTEGRALIZACAO,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA
14353,ENGENHARIA METALÚRGICA,2017,2021,6,2022,39,12,0,1,30.76923077,0.0,69.23076923,0.0,2.564102564
14354,ENGENHARIA NAVAL E OCEÂNICA,2017,2017,6,2022,76,74,0,2,97.36842105,0.0,2.631578947,0.0,2.631578947
14354,ENGENHARIA NAVAL E OCEÂNICA,2017,2018,6,2022,76,68,0,6,89.47368421,0.0,10.52631579,0.0,7.894736842
14354,ENGENHARIA NAVAL E OCEÂNICA,2017,2019,6,2022,76,56,0,12,73.68421053,0.0,26.31578947,0.0,15.78947368
14354,ENGENHARIA NAVAL E OCEÂNICA,2017,2020,6,2022,76,55,0,1,72.36842105,0.0,27.63157895,0.0,1.315789474
14354,ENGENHARIA NAVAL E OCEÂNICA,2017,2021,6,2022,76,50,1,4,65.78947368,1.315789474,32.89473684,1.315789474,5.263157895
14355,ENGENHARIA MECÂNICA,2017,2017,6,2022,130,124,0,6,95.38461538,0.0,4.615384615,0.0,4.615384615
14355,ENGENHARIA MECÂNICA,2017,2018,6,2022,130,110,0,14,84.61538462,0.0,15.38461538,0.0,10.76923077
14355,ENGENHARIA MECÂNICA,2017,2019,6,2022,130,103,1,6,79.23076923,0.769230769,20.0,0.769230769,4.615384615
14355,ENGENHARIA MECÂNICA,2017,2020,6,2022,130,99,2,2,76.15384615,2.307692308,21.53846154,1.538461538,1.538461538
14355,ENGENHARIA MECÂNICA,2017,2021,6,2022,130,95,1,3,73.07692308,3.076923077,23.84615385,0.769230769,2.307692308
14356,PSICOLOGIA,2017,2017,5,2021,219,218,0,1,99.543379,0.0,0.456621005,0.0,0.456621005
14356,PSICOLOGIA,2017,2018,5,2021,219,190,14,14,86.75799087,6.392694064,6.849315068,6.392694064,6.392694064
14356,PSICOLOGIA,2017,2019,5,2021,219,162,9,19,73.97260274,10.50228311,15.52511416,4.109589041,8.675799087
14356,PSICOLOGIA,2017,2020,5,2021,219,154,6,2,70.3196347,13.24200913,16.43835616,2.739726027,0.913242009
14356,PSICOLOGIA,2017,2021,5,2021,219,133,19,2,60.73059361,21.91780822,17.35159817,8.675799087,0.913242009
14358,SERVIÇO SOCIAL,2017,2017,6,2022,189,174,0,15,92.06349206,0.0,7.936507937,0.0,7.936507937
14358,SERVIÇO SOCIAL,2017,2018,6,2022,189,153,0,21,80.95238095,0.0,19.04761905,0.0,11.11111111
14358,SERVIÇO SOCIAL,2017,2019,6,2022,189,136,2,15,71.95767196,1.058201058,26.98412698,1.058201058,7.936507937
14358,SERVIÇO SOCIAL,2017,2020,6,2022,189,131,3,2,69.31216931,2.645502646,28.04232804,1.587301587,1.058201058
14358,SERVIÇO SOCIAL,2017,2021,6,2022,189,110,16,5,58.2010582,11.11111111,30.68783069,8.465608466,2.645502646
14359,MEDICINA,2017,2017,7,2023,209,203,0,6,97.1291866,0.0,2.870813397,0.0,2.870813397
14359,MEDICINA,2017,2018,7,2023,209,200,0,3,95.6937799,0.0,4.306220096,0.0,1.435406699
14359,MEDICINA,2017,2019,7,2023,209,192,1,7,91.86602871,0.4784689,7.655502392,0.4784689,3.349282297
14359,MEDICINA,2017,2020,7,2023,209,190,0,2,90.90909091,0.4784689,8.612440191,0.0,0.956937799
14359,MEDICINA,2017,2021,7,2023,209,183,4,3,87.55980861,2.392344498,10.04784689,1.913875598,1.435406699
14360,NUTRIÇÃO,2017,2017,5,2021,103,102,0,1,99.02912621,0.0,0.970873786,0.0,0.970873786
14360,NUTRIÇÃO,2017,2018,5,2021,103,98,0,4,95.14563107,0.0,4.854368932,0.0,3.883495146
14360,NUTRIÇÃO,2017,2019,5,2021,103,90,0,8,87.37864078,0.0,12.62135922,0.0,7.766990291
14360,NUTRIÇÃO,2017,2020,5,2021,103,85,3,2,82.52427184,2.912621359,14.5631068,2.912621359,1.941747573
14360,NUTRIÇÃO,2017,2021,5,2021,103,83,1,1,80.58252427,3.883495146,15.53398058,0.970873786,0.970873786
